word,noun,pronoun,verb,adjective,adverb,preposition,conjunction,interjection
laziest,True,False,True,True,True,False,False,False
county,True,False,False,True,False,False,False,False
has,False,False,False,False,False,False,False,False
shopper's,False,False,False,False,False,False,False,False
club,True,False,True,True,False,False,False,False
card,True,False,False,False,False,False,False,False
side,True,False,True,True,False,False,False,False
making,True,False,False,False,False,False,False,False
check,True,False,True,True,False,False,False,True
sixtynine,True,False,False,False,False,False,False,False
cents,True,False,False,False,False,False,False,False
which,False,True,False,True,False,False,False,False
high,True,False,False,True,True,False,False,False
runnin',False,False,False,False,False,False,False,False
worldwidebut,False,False,False,False,False,False,False,False
exterior,True,False,False,True,True,False,False,False
long,True,False,True,True,True,False,False,False
shot,True,False,False,True,False,False,False,False
glowing,False,False,False,True,True,False,False,False
two,True,False,False,True,False,False,False,False
or,False,False,False,False,False,True,True,False
three,True,False,False,True,False,False,False,False
cars,True,False,False,False,False,False,False,False
parked,True,False,True,True,False,False,False,False
huge,True,False,False,True,True,False,False,False
lost,True,False,False,True,False,False,False,False
m'train,False,False,False,False,False,False,False,False
thought,True,False,False,False,False,False,False,False
butaw,False,False,False,False,False,False,False,False
hell,True,False,False,False,False,False,False,False
done,False,False,False,True,False,False,False,False
innerduced,False,False,False,False,False,False,False,False
enough,False,True,False,True,True,False,False,False
figure,True,False,True,False,False,False,False,False
walking,True,False,False,True,False,False,False,False
across,False,False,False,True,True,True,False,False
vast,True,False,False,True,True,False,False,False
walks,True,False,True,False,False,False,False,False
mexican,True,False,False,True,False,False,False,False
carryout,True,False,True,True,False,False,False,False
boy,True,False,False,True,True,False,False,False
red,True,False,False,True,False,False,False,False
apron,True,False,False,True,False,False,False,False
cap,True,False,True,False,False,False,False,False
carrying,True,False,True,False,False,False,False,False
brown,True,False,True,True,False,False,False,False
bag,True,False,True,False,False,False,False,False
holding,True,False,False,True,False,False,False,False
men's,True,False,False,False,False,False,False,False
footsteps,True,False,False,False,False,False,False,False
echo,True,False,True,True,False,False,False,False
still,True,False,True,True,True,False,False,False
night,True,False,False,True,False,False,False,False
beat,True,False,True,True,False,False,False,False
offhandedly,True,False,False,True,True,False,False,False
points,True,False,True,True,False,False,False,False
it's,False,False,False,False,False,False,False,False
lebaron,False,False,False,False,False,False,False,False
dude's,False,False,False,False,False,False,False,False
going,True,False,False,True,False,False,False,False
walkway,True,False,False,False,False,False,False,False
venice,False,False,False,False,False,False,False,False
bungalow,True,False,False,False,False,False,False,False
court,True,False,True,False,False,False,False,False
holds,True,False,True,False,False,False,False,False
paper,True,False,True,True,False,False,False,False
sack,True,False,True,False,False,False,False,False
hand,True,False,True,False,True,False,False,False
leatherette,True,False,False,False,False,False,False,False
satchel,True,False,False,False,False,False,False,False
awkwardly,True,False,False,True,True,False,False,False
hugs,True,False,True,True,False,False,False,False
grocery,True,False,False,False,False,False,False,False
against,False,False,False,False,False,True,True,False
chest,True,False,False,True,False,False,False,False
turns,True,False,True,True,False,False,False,False
key,True,False,True,True,False,False,False,False
door,True,False,False,True,False,False,False,False
inside,True,False,False,True,True,True,False,False
enters,False,False,True,True,False,False,False,False
flicks,True,False,True,False,False,False,False,False
light,True,False,True,True,True,False,False,False
head,True,False,True,True,False,False,False,False
grabbed,True,False,True,True,False,False,False,False
tucked,True,False,True,False,False,False,False,False
into,False,False,False,False,False,True,False,False
an,False,False,False,False,False,True,True,False
armpit,True,False,False,False,False,False,False,False
track,False,False,False,False,False,False,False,False
rushed,True,False,True,True,False,False,False,False
through,False,False,False,True,True,True,False,False
living,True,False,False,True,False,False,False,False
room,True,False,True,True,False,False,False,False
arm,True,False,True,True,False,False,False,False
flailing,False,False,False,True,True,False,False,False
away,True,False,False,True,True,False,False,False
body,True,False,True,True,False,False,False,False
bedroom,True,False,False,True,False,False,False,False
outflung,False,False,False,True,False,False,False,False
catches,True,False,True,True,False,False,False,False
piece,True,False,True,False,False,False,False,False
doorframe,True,False,False,False,False,False,False,False
wallboard,True,False,False,False,False,False,False,False
rips,True,False,True,False,False,False,False,False
leaving,True,False,True,False,False,False,False,False
hole,True,False,True,False,False,False,False,False
propelled,False,False,True,False,False,False,False,False
bathroom,True,False,False,False,False,False,False,False
once,True,False,False,True,True,False,True,False
taking,True,False,True,False,False,False,False,False
plunged,True,False,True,False,False,False,False,False
toilet,True,False,True,False,False,False,False,False
hugged,True,False,True,True,False,False,False,False
explodes,True,False,True,False,False,False,False,False
hits,True,False,True,True,False,False,False,False
rim,True,False,True,True,False,False,False,False
pulverizes,True,False,True,True,False,False,False,False
tile,True,False,True,False,False,False,False,False
crashes,True,False,True,True,False,False,False,False
floor,True,False,True,False,False,False,False,False
blows,True,False,True,False,False,False,False,False
bubbles,True,False,True,True,False,False,False,False
money,True,False,False,True,False,False,False,False
said,False,False,False,True,False,False,False,False
were,False,False,False,False,False,False,False,False
hands,True,False,True,False,True,False,False,False
haul,True,False,True,False,False,False,False,False
blubbers,True,False,True,False,False,False,False,False
gasps,True,False,True,False,False,False,False,False
air,True,False,True,True,False,False,False,False
where's,False,False,False,False,False,False,False,False
dripping,True,False,False,False,False,False,False,False
gasping,True,False,True,False,False,False,False,False
fucking,False,False,False,True,False,False,False,False
shithead,True,False,False,False,False,False,False,False
uh,False,False,False,False,False,False,False,True
down,True,False,True,True,True,True,False,False
somewhere,True,False,False,False,True,False,False,False
lemme,False,False,False,False,False,False,False,False
take,True,False,True,False,False,False,False,False
another,False,True,False,True,False,False,False,False
don't,True,False,False,False,False,False,False,False
fuck,True,False,True,False,False,False,False,False
your,False,False,False,True,False,False,False,False
wife,True,False,False,True,False,False,False,False
owes,False,False,True,False,False,False,False,False
jackie,False,False,False,False,False,False,False,False
means,True,False,True,True,True,False,False,False
owe,False,False,True,False,False,False,False,False
inquisitor,True,False,False,True,True,False,False,False
hauls,True,False,True,False,False,False,False,False
last,True,False,True,True,True,False,False,False
flops,True,False,True,False,True,False,False,False
sits,True,False,True,False,False,False,False,False
gropes,True,False,True,False,False,False,False,False
looming,True,False,True,False,False,False,False,False
strapping,True,False,False,True,False,False,False,False
blond,True,False,False,True,False,False,False,False
beyond,True,False,False,False,True,True,False,False
young,True,False,False,True,False,False,False,False
chinese,True,False,False,True,False,False,False,False
unzips,False,False,True,False,False,False,False,False
fly,True,False,True,True,False,False,False,False
rug,True,False,False,False,False,False,False,False
ever,False,False,False,False,True,False,False,False
thus,False,False,False,False,True,False,False,False
deadbeats,True,False,False,True,False,False,False,False
starts,True,False,True,False,False,False,False,False
peeing,False,False,True,False,False,False,False,False
comes,True,False,True,False,False,False,False,False
bowl,True,False,True,True,False,False,False,False
oh,True,False,False,False,False,False,False,True
do,True,False,True,True,False,False,False,False
happens,False,False,True,False,False,False,False,False
puts,True,False,True,True,False,False,False,False
nobody,True,True,False,False,False,False,False,False
calls,True,False,True,False,False,False,False,False
got,False,False,False,False,False,False,False,False
wrong,True,False,True,True,True,False,False,False
guy,True,False,False,False,False,False,False,False
moron,True,False,False,True,True,False,False,False
wedding,True,False,False,False,False,False,False,False
ring,True,False,True,True,False,False,False,False
does,False,False,False,False,False,False,False,False
married,True,False,False,True,False,False,False,False
plants,True,False,True,True,False,False,False,False
dead,True,False,False,True,True,False,False,False
stoops,True,False,True,False,False,False,False,False
unzip,False,False,True,False,False,False,False,False
pulls,True,False,True,False,False,False,False,False
bowling,True,False,False,False,False,False,False,False
ball,True,False,True,False,False,False,False,False
examines,True,False,True,True,False,False,False,False
superstitious,False,False,False,True,True,False,False,False
native,True,False,False,True,True,False,False,False
pats,True,False,True,True,True,False,False,False
pockets,True,False,True,True,False,False,False,False
takes,True,False,True,False,False,False,False,False
joint,True,False,True,True,True,False,False,False
lights,False,False,False,False,False,False,False,False
obviously,False,False,False,False,True,False,False,False
you're,False,False,False,False,False,False,False,False
golfer,True,False,False,False,False,False,False,False
drops,True,False,True,True,False,False,False,False
more,True,True,False,True,True,False,False,False
zipping,True,False,True,True,False,False,False,False
yeah,False,False,False,False,True,False,False,False
wasn't,False,False,False,False,False,False,False,False
supposed,False,False,False,True,True,False,False,False
millionaire,True,False,False,False,False,False,False,False
both,False,True,False,True,False,False,True,False
around,False,False,False,True,True,True,False,False
think,True,False,True,True,False,False,False,False
looks,True,False,True,False,False,False,False,False
fuckin',False,False,False,False,False,False,False,False
loser,True,False,False,False,False,False,False,False
finger,True,False,True,True,False,False,False,False
peeks,True,False,True,False,False,False,False,False
them,False,True,False,True,False,False,False,False
hey,False,False,False,False,False,False,False,True
housebroken,False,False,False,True,False,False,False,False
men,False,False,False,False,False,False,False,False
each,False,True,False,True,True,False,False,False
turn,True,False,True,True,False,False,False,False
leave,True,False,True,False,False,False,False,False
waste,True,False,True,True,False,False,False,False
testily,True,False,False,True,True,False,False,False
thanks,True,False,False,False,False,False,False,False
asshole,True,False,False,False,False,False,False,False
slam,True,False,True,False,False,False,False,False
cut,True,False,True,True,False,False,False,False
pins,False,False,False,False,False,False,False,False
scattered,True,False,True,False,False,False,False,False
strike,True,False,True,False,False,False,False,False
music,True,False,False,False,False,False,False,False
credits,True,False,True,False,False,False,False,False
play,True,False,True,True,False,False,False,False
various,True,False,False,True,False,False,False,False
shotspins,False,False,False,False,False,False,False,False
flying,True,False,False,True,False,False,False,False
bowlers,False,False,False,False,False,False,False,False
hoisting,True,False,True,False,False,False,False,False
balls,True,False,True,False,False,False,False,False
gliding,True,False,True,False,False,False,False,False
lanes,True,False,False,False,False,False,False,False
sliding,True,False,True,False,False,False,False,False
feet,False,False,False,False,False,False,False,False
graceful,True,False,False,True,True,False,False,False
releases,True,False,True,True,False,False,False,False
return,True,False,True,True,False,False,False,False
fingers,True,False,True,True,False,False,False,False
fingerholes,True,False,False,False,False,False,False,False
etc,False,False,False,False,False,False,False,False
boomy,False,False,False,True,False,False,False,False
source,True,False,True,True,False,False,False,False
coming,True,False,False,True,False,False,False,False
distant,True,False,False,True,True,False,False,False
jukebox,True,False,False,False,False,False,False,False
end,True,False,True,True,False,False,False,False
clattering,True,False,True,True,True,False,False,False
lanky,True,False,False,True,True,False,False,False
blonde,True,False,False,True,False,False,False,False
stringy,True,False,False,True,False,False,False,False
hair,True,False,False,True,False,False,False,False
tied,True,False,True,True,False,False,False,False
ponytail,True,False,False,True,False,False,False,False
walk,True,False,True,False,False,False,False,False
bench,True,False,True,False,False,False,False,False
hot,True,False,True,True,True,False,False,False
throwin',False,False,False,False,False,False,False,False
rocks,True,False,True,True,False,False,False,False
tonight,True,False,False,False,True,False,False,False
mark,True,False,True,True,False,False,False,False
circular,True,False,False,True,True,False,False,False
towards,False,False,False,True,False,True,False,False
nursing,True,False,False,False,False,False,False,False
large,True,False,False,True,True,False,False,False
plastic,True,False,False,True,False,False,False,False
cup,True,False,True,True,False,False,False,False
bud,True,False,True,False,False,False,False,False
dark,True,False,True,True,True,False,False,False
worried,False,False,False,True,True,False,False,False
eyes,True,False,True,True,False,False,False,False
goatee,True,False,False,True,False,False,False,False
hairy,True,False,False,True,False,False,False,False
legs,True,False,True,True,False,False,False,False
emerge,False,False,True,False,False,False,False,False
khaki,True,False,False,True,False,False,False,False
also,False,False,False,False,True,False,False,False
wears,True,False,True,False,False,False,False,False
army,True,False,False,False,False,False,False,False
surplus,True,False,False,True,False,False,False,False
shirt,True,False,False,True,False,False,False,False
sleeves,True,False,False,True,False,False,False,False
off,False,False,True,True,True,True,False,False
old,True,False,False,True,False,False,False,False
squints,True,False,True,True,True,False,False,False
smoke,True,False,True,True,False,False,False,False
own,False,True,True,True,False,False,False,False
cigarette,True,False,False,False,False,False,False,False
addresses,True,False,True,False,False,False,False,False
scoring,True,False,True,True,False,False,False,False
table,True,False,True,True,False,False,False,False
its,False,False,False,True,False,False,False,False
foam,True,False,True,True,False,False,False,False
valued,False,False,False,True,False,False,False,False
elaborately,True,False,True,True,True,False,False,False
clears,True,False,True,True,True,False,False,False
throat,True,False,True,False,False,False,False,False
really,False,False,False,False,True,False,False,False
together,True,False,False,True,True,False,False,False
strikescoring,False,False,False,False,False,False,False,False
bowler,False,False,False,False,False,False,False,False
listening,True,False,True,False,False,False,False,False
have,True,False,True,False,False,False,False,False
frame,True,False,True,True,False,False,False,False
reference,True,False,True,True,False,False,False,False
child,True,False,False,True,False,False,False,False
wanders,True,False,True,False,False,False,False,False
middle,True,False,False,True,False,False,False,False
movie,True,False,False,False,False,False,False,False
wants,True,False,True,False,False,False,False,False
know,True,False,True,False,False,False,False,False
point,True,False,True,True,False,False,False,False
reasonhere's,False,False,False,False,False,False,False,False
dudethere's,False,False,False,False,False,False,False,False
reason,True,False,True,False,False,False,False,False
huh,False,False,False,False,False,False,False,True
ofwe,False,False,False,False,False,False,False,False
fault,True,False,True,False,False,False,False,False
talking,True,False,True,False,False,False,False,False
talkingi'm,False,False,False,False,False,False,False,False
notwe're,False,False,False,False,False,False,False,False
unchecked,False,False,False,True,False,False,False,False
forget,True,False,True,False,False,False,False,False
element,True,False,False,False,False,False,False,False
chinaman,True,False,False,False,False,False,False,False
peed,False,False,True,False,False,False,False,False
go,True,False,True,True,False,False,False,False
give,True,False,True,False,False,False,False,False
bill,True,False,True,True,False,False,False,False
issue,True,False,True,True,False,False,False,False
drawing,True,False,False,False,False,False,False,False
line,True,False,True,True,False,False,False,False
sand,True,False,True,False,False,False,False,False
uhand,False,False,False,False,False,False,False,False
preferred,False,False,False,True,False,False,False,False
asianamerican,True,False,False,True,False,False,False,False
please,False,False,True,False,True,False,False,False
built,False,False,False,True,False,False,False,False
rail,True,False,True,False,False,False,False,False
roads,True,False,False,True,False,False,False,False
jeffrey,False,False,False,False,False,False,False,False
gonna,False,False,False,False,False,False,False,False
easier,True,False,False,True,True,False,False,False
anyway,False,False,False,False,True,False,False,False
than,False,False,False,False,False,True,True,False
these,False,False,False,False,False,False,False,False
wealth,True,False,False,False,False,False,False,False
resources,True,False,False,False,False,False,False,False
should,False,False,False,False,False,False,False,False
pee,False,False,True,False,False,False,False,False
am,True,False,False,False,False,False,False,False
okay,True,False,True,False,True,False,False,False
rap,True,False,True,False,False,False,False,False
did,False,False,False,False,False,False,False,False
could,False,False,False,False,False,False,False,False
compensate,True,False,True,True,False,False,False,False
mean,True,False,True,True,True,False,False,False
goes,False,False,False,False,False,False,False,False
thaaat's,False,False,False,False,False,False,False,False
close,True,False,True,True,True,False,False,False
plaque,True,False,False,False,False,False,False,False
pull,True,False,True,False,False,False,False,False
engraved,True,False,True,False,False,False,False,False
silver,True,False,True,True,False,False,False,False
reveal,True,False,True,True,False,False,False,False
variety,True,False,False,False,False,False,False,False
clubs,True,False,True,True,False,False,False,False
international,True,False,False,True,True,False,False,False
honors,True,False,True,False,False,False,False,False
achiever,True,False,False,False,False,False,False,False
year,True,False,False,False,False,False,False,False
reflected,False,False,True,False,False,False,False,False
entering,False,False,True,True,False,False,False,False
talk,True,False,True,False,False,False,False,False
study,True,False,True,False,False,False,False,False
commendations,True,False,False,False,False,False,False,False
honorary,True,False,False,True,True,False,False,False
degrees,True,False,False,True,False,False,False,False
et,True,False,False,False,False,False,False,False
cetera,False,False,False,False,False,False,False,False
yes,True,False,False,False,True,False,False,False
very,False,False,False,True,True,False,False,False
impressive,True,False,False,True,True,False,False,False
feel,True,False,True,False,False,False,False,False
free,True,False,True,True,True,False,False,False
inspect,True,False,True,True,False,False,False,False
uhhuh,False,False,False,False,False,False,False,True
panning,True,False,True,False,False,False,False,False
walls,True,False,True,True,False,False,False,False
looking,True,False,True,False,False,False,False,False
citations,True,False,False,True,False,False,False,False
certificates,True,False,True,True,False,False,False,False
unrelated,False,False,False,True,False,False,False,False
ones,True,True,False,True,False,False,False,False
being,True,False,False,True,False,False,True,False
discussed,True,False,True,True,False,False,False,False
offscreen,False,False,False,False,False,False,False,False
pasadena,True,False,False,False,False,False,False,False
mr,True,False,False,False,False,False,False,False
given,True,False,False,True,False,True,False,False
years,True,False,False,False,False,False,False,False
ago,False,False,False,False,True,False,False,False
recognition,True,False,False,False,False,False,False,False
civic,False,False,False,True,True,False,False,False
chamber,True,False,True,True,False,False,False,False
commerce,True,False,True,False,False,False,False,False
business,True,False,False,False,False,False,False,False
award,True,False,True,True,False,False,False,False
givennot,False,False,False,False,False,False,False,False
necessarily,False,False,False,False,True,False,False,False
every,False,False,False,True,False,False,False,False
when,True,True,False,False,True,False,True,False
worthy,True,False,False,True,True,False,False,False
somebody,True,True,False,False,False,False,False,False
especially,False,False,False,False,True,False,False,False
nancy,False,False,False,False,False,False,False,False
indeed,False,False,False,False,True,False,False,False
first,True,False,False,True,True,False,False,False
lady,True,False,False,False,False,False,False,False
taken,False,False,False,False,False,False,False,False
course,True,False,True,False,False,False,False,False
mrs,False,False,False,False,False,False,False,False
reagan,False,False,False,True,False,False,False,False
left,True,False,False,True,True,False,False,False
handicapped,False,False,False,True,False,False,False,False
disabled,False,False,False,True,False,False,False,False
picture,True,False,True,False,False,False,False,False
nation,True,False,False,False,False,False,False,False
california,True,False,False,False,False,False,False,False
far,False,False,False,True,True,False,False,False
fact,True,False,False,False,False,False,False,False
met,True,False,False,False,False,False,False,False
privately,True,False,False,True,True,False,False,False
president,True,False,False,True,True,False,False,False
though,False,False,False,False,True,False,True,False
unfortunately,False,False,False,False,True,False,False,False
photo,True,False,True,True,False,False,False,False
opportunity,True,False,False,False,False,False,False,False
nancy's,False,False,False,False,False,False,False,False
pretty,True,False,True,True,True,False,False,False
wonderful,True,False,False,True,True,False,False,False
woman,True,False,False,True,False,False,False,False
lebowski's,False,False,False,False,False,False,False,False
children,True,False,False,True,False,False,False,False
speak,False,False,True,True,False,False,False,False
different,True,False,False,True,True,False,False,False
mothers,False,False,False,False,False,False,False,False
racially,False,False,False,True,True,False,False,False
cool,True,False,True,True,True,False,False,False
they're,False,False,False,False,False,False,False,False
hehheh,False,False,False,False,False,False,False,False
